loss,created_at,avg_val_loss,learning_rate,epoch
"tensor(4.5150, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:08.670237,,,
"tensor(4.6624, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:09.120390,,,
"tensor(4.3739, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:09.446993,,,
"tensor(4.9454, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:09.832882,,,
"tensor(4.5723, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:10.176634,,,
"tensor(4.6101, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:10.601854,,,
"tensor(4.4273, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:11.044259,,,
"tensor(4.7198, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:11.361966,,,
"tensor(4.4410, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:11.760499,,,
"tensor(4.9013, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:12.217039,,,
"tensor(5.0271, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:12.618707,,,
"tensor(4.5729, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:13.010116,,,
"tensor(4.9704, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:13.407808,,,
,2021-02-28 17:30:14.180383,4.672223091125488,0.0005,0.0
"tensor(4.6682, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:14.571396,,,
"tensor(4.5769, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:14.843893,,,
"tensor(4.9907, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:15.242927,,,
"tensor(4.5001, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:15.736134,,,
"tensor(4.5848, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:16.033356,,,
"tensor(4.5024, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:16.354214,,,
"tensor(4.4943, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:16.761811,,,
"tensor(4.4489, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:17.135252,,,
"tensor(4.9365, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:17.544269,,,
"tensor(4.5833, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:17.953751,,,
"tensor(5.1536, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:18.256895,,,
"tensor(4.8643, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:18.699465,,,
"tensor(4.4346, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:19.015331,,,
,2021-02-28 17:30:19.939097,4.67220401763916,0.0005,1.0
"tensor(4.8882, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:20.386001,,,
"tensor(5.0654, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:20.766893,,,
"tensor(4.4947, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:21.074157,,,
"tensor(4.5422, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:21.431469,,,
"tensor(4.3740, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:21.696857,,,
"tensor(4.5864, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:22.048271,,,
"tensor(5.1318, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:22.410239,,,
"tensor(4.4104, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:22.935411,,,
"tensor(4.5113, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:23.302442,,,
"tensor(4.9935, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:23.572497,,,
"tensor(4.5730, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:23.853067,,,
"tensor(4.5779, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:24.109383,,,
"tensor(4.5883, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:24.493304,,,
,2021-02-28 17:30:25.298063,4.6720805168151855,0.0005,2.0
"tensor(4.5029, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:25.730431,,,
"tensor(4.4728, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:26.148978,,,
"tensor(4.4484, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:26.469201,,,
"tensor(4.6104, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:26.938372,,,
"tensor(5.3518, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:27.396384,,,
"tensor(4.6522, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:27.683145,,,
"tensor(4.5684, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:27.937182,,,
"tensor(4.6497, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:28.243434,,,
"tensor(5.2604, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:28.678391,,,
"tensor(4.4853, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:28.984290,,,
"tensor(4.6233, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:29.445979,,,
"tensor(4.6856, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:29.858020,,,
"tensor(4.4267, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:30.210703,,,
,2021-02-28 17:30:30.977418,4.672154426574707,0.0005,3.0
"tensor(5.4379, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:31.289366,,,
"tensor(4.6354, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:31.620931,,,
"tensor(4.3410, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:31.955951,,,
"tensor(4.5881, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:32.225265,,,
"tensor(4.5984, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:32.558081,,,
"tensor(4.8882, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:32.866408,,,
